Path,SQL_ID,Investigation_ID,Grain,Target_Schema
sql/04_sdoh_biomarkers/ANA-400_SDOH_Biomarker_and_Structural_Root_Cause_Grandmaster.sql,SQL-ANA-400-GRANDMASTER,ANA-400,"Multidimensional SDOH, Biomarker & Social Support Segment","dbo.Patients, dbo.SDOH, dbo.Social_Graph, dbo.Biomarkers, dbo.Clinical_Notes, dbo.Treatments, dbo.Longitudinal_Sessions, dbo.Outcomes, dbo.Appointments, dbo.Crisis_Events, dbo.Financials"
sql/01_clinical_outcomes/ANA-201_202_Adherence_Crisis_and_Pharmaco-Tolerance.sql,SQL-ANA-201-02,ANA-201,Unique Patient-Level Adherence Tier,"dbo.Patients, dbo.Treatments, dbo.Medication_History, dbo.Crisis_Events"
sql/01_clinical_outcomes/ANA-204_Digital_Engagement_and_Outcome_Trajectory.sql,SQL-ANA-204-DQ,ANA-204,Table Level Audit Summary,"dbo.Longitudinal_Sessions, dbo.Outcomes"
sql/01_clinical_outcomes/ANA-203_Clinical_Risk_Discordance_and_Sentiment.sql,SQL-ANA-203-DQ,ANA-203,Patient Level Audit Summary,"dbo.Clinical_Notes, dbo.Clinical_Assessments"
sql/03_financial_security/ANA-302_Value_Based_ROCI_and_Cost_Efficacy.sql,SQL-ANA-302-01,ANA-302,"Clinical Regimen, Recovery Trajectory & Digital Engagement Segment","dbo.Financials, dbo.Treatments, dbo.Outcomes, dbo.Longitudinal_Sessions, dbo.Medication_History"
sql/03_financial_security/ANA-304_Acute_Crisis_Financial_Hemorrhage.sql,SQL-ANA-304-01,ANA-304,"Payer, Primary Diagnosis, Scheduling Latency & Acute Utilization Segment","dbo.Financials, dbo.Crisis_Events, dbo.Treatments, dbo.Appointments, dbo.Comorbidities, dbo.Patients"
sql/03_financial_security/ANA-303_Audit_Vulnerability_and_Documentation_Gaps.sql,SQL-ANA-303-01,ANA-303,"Payer, Provider Continuity, Sentiment & Billing Tier Segment","dbo.Treatments, dbo.Financials, dbo.Insurance_Workflow, dbo.Provider_Assignment_History, dbo.Clinical_Notes"
sql/03_financial_security/ANA-301_Prior_Authorization_and_Claim_Denials.sql,SQL-ANA-301-01,ANA-301,Payer & Specialty Authorization Latency Segment,"dbo.Financials, dbo.Insurance_Workflow, dbo.Treatments, dbo.Appointments, dbo.Providers"
sql/02_operational_efficiency/ANA-206_Workforce_Burnout_and_Care_Continuity.sql,SQL-ANA-206-01,ANA-206,"Clinician Cohort Segment (Specialty, Caseload Tier, Burnout Tier, Experience Tier)","dbo.Providers, dbo.Provider_Assignment_History"
sql/02_operational_efficiency/ANA-205_No_Show_Drivers_and_Accessibility.sql,SQL-ANA-205-02,ANA-205,"Multi-dimensional Operational Segment (District, Employment Status, Distance Bucket, Wait Time Bucket, Income Tier)","dbo.Appointments, dbo.Patients"
sql/02_operational_efficiency/ANA-207_Scheduling_Latency_and_Capacity.sql,SQL-ANA-207-06,ANA-207,Specialty & Latency Tier,"dbo.Appointments, dbo.Providers"
sql/02_operational_efficiency/ANA-208_Operational_and_Financial_Leakage.sql,SQL-ANA-208-01,ANA-208,"Integrated Payer & Operational Segment (Insurance Group, Specialty Group, Distance Bucket, Wait Time Bucket, Prior Auth Requirement)","dbo.Appointments, dbo.Financials, dbo.Insurance_Workflow, dbo.Treatments, dbo.Patients, dbo.Providers"
